city,state,latitude_deg,longitude_deg,observations,avg_temp_f,max_temp_f,min_temp_f,temp_range_f,avg_humidity,total_precip_inches,avg_wind_mph,days_with_rain,days_with_heavy_rain
Phoenix,AZ,33.4484,-112.074,8784,75.37975409836065,116.41999999999999,30.38,86.03999999999999,33.3122723132969,6.9291376,20.491480720856103,8.708333333333334,0
San Antonio,TX,29.4241,-98.4936,8784,72.46055327868852,105.08000000000001,18.5,86.58000000000001,65.0297131147541,37.9921465,26.9843111215847,51.208333333333336,0.875
Austin,TX,30.2672,-97.7431,8784,71.15204918032786,104.9,17.6,87.30000000000001,67.66848816029145,47.744120269999996,27.581388708561022,50.666666666666664,1.75
Houston,TX,29.7604,-95.3698,8784,71.13745901639344,97.52,18.68,78.84,76.56807832422587,82.7953203,27.43253950204918,68.45833333333333,2.7916666666666665
Jacksonville,FL,30.3322,-81.6557,8784,70.2269262295082,98.78,29.48,69.3,77.13934426229508,54.1338875,26.858152187613847,58.041666666666664,0.9583333333333334
Fort Worth,TX,32.7555,-97.3308,8784,69.20553278688524,107.6,11.479999999999997,96.12,62.66245446265938,37.822855069999996,30.884975246584702,36.625,0.8333333333333334
Dallas,TX,32.7767,-96.797,8784,68.85350409836066,106.52,10.940000000000001,95.58,65.62124316939891,50.89766528,31.34117450842441,40.5,1.25
Los Angeles,CA,34.0522,-118.2437,8784,62.83141393442623,113.72,35.42,78.3,66.59323770491804,20.59843632,17.788740748861567,18.208333333333332,0.2916666666666667
San Diego,CA,32.7157,-117.1611,8784,61.90674180327869,93.74,37.04,56.699999999999996,74.40972222222223,14.48032278,20.985598967896177,18,0.125
Charlotte,NC,35.2271,-80.8431,8784,61.556209016393446,98.96000000000001,17.240000000000002,81.72,69.72700364298726,49.04333357,23.735043720856105,48.75,0.9583333333333334
San Jose,CA,37.3382,-121.8863,8784,60.79452868852459,106.34,33.08,73.26,65.60701275045537,24.94489536,19.063623379553736,32.25,0.125
Philadelphia,PA,39.9526,-75.1652,8784,57.06422131147541,98.96000000000001,10.399999999999999,88.56,66.68658925318762,44.39766177,25.47399463046448,47.916666666666664,0.6666666666666666
San Francisco,CA,37.7749,-122.4194,8784,56.90922131147541,100.22,39.92,60.3,77.47290528233151,31.4567099,33.17883192349727,35.375,0.25
Indianapolis,IN,39.7684,-86.1581,8784,56.14286885245902,94.46000000000001,-2.740000000000002,97.20000000000002,69.5004553734062,45.49608756,27.112201748633883,54.166666666666664,0.5
Columbus,OH,39.9612,-82.9988,8784,55.839774590163934,95,6.979999999999997,88.02000000000001,69.81329690346084,42.70081046,24.230715398451732,57.291666666666664,0.5
New York,NY,40.7128,-74.006,8784,55.25897540983607,97.16,5,92.16,68.83378870673953,50.86223219,27.74088273428962,54.25,0.8333333333333334
Chicago,IL,41.8781,-87.6298,8784,52.55983606557377,96.44,-13.36,109.8,72.43602003642987,40.58269908,37.3589352859745,51.041666666666664,0.375
Boston,MA,42.3601,-71.0589,8784,52.15206967213115,96.26,6.259999999999998,90,71.59642531876139,47.41341143,28.75517102276867,52.208333333333336,0.5833333333333334
Seattle,WA,47.6062,-122.3321,8784,51.73149590163934,89.96000000000001,13.100000000000001,76.86000000000001,77.94877049180327,45.75199321,25.869584634562845,76.66666666666667,0
Denver,CO,39.7392,-104.9903,8784,50.77053278688525,100.76,-33.88000000000001,134.64000000000001,52.517531876138435,15.16929953,18.86776379918033,26.125,0
