region,date,measurement_category,total_value,avg_value,num_companies,states_count
California,2024-01-01,Demand,1207817,201302.83333333334,3,1
California,2024-01-01,Generation,1674498,167449.8,3,1
California,2024-01-01,Interchange,-95832,-23958,3,1
California,2024-01-02,Demand,756502,151300.4,3,1
California,2024-01-02,Generation,2390770,265641.1111111111,3,1
California,2024-01-02,Interchange,-240385,-40064.166666666664,3,1
California,2024-01-03,Demand,1879765,268537.85714285716,3,1
California,2024-01-03,Generation,2205512,157536.57142857142,3,1
California,2024-01-03,Interchange,-170062,-21257.75,3,1
California,2024-01-04,Demand,1416928,202418.2857142857,3,1
California,2024-01-04,Generation,2023394,202339.4,3,1
California,2024-01-04,Interchange,-156053,-39013.25,2,1
California,2024-01-05,Demand,1352880,225480,2,1
California,2024-01-05,Generation,2414863,268318.1111111111,3,1
California,2024-01-05,Interchange,-239133,-59783.25,2,1
California,2024-01-06,Demand,1239983,206663.83333333334,3,1
California,2024-01-06,Generation,1000874,100087.4,3,1
California,2024-01-06,Interchange,-180447,-30074.5,3,1
California,2024-01-07,Demand,858483,107310.375,3,1
California,2024-01-07,Generation,1958240,163186.66666666666,3,1
California,2024-01-07,Interchange,-67420,-16855,2,1
California,2024-01-08,Demand,845923,140987.16666666666,3,1
California,2024-01-08,Generation,2231084,185923.66666666666,3,1
California,2024-01-08,Interchange,-102270,-20454,3,1
California,2024-01-09,Demand,2617338,290815.3333333333,3,1
California,2024-01-09,Generation,2480436,354348,3,1
California,2024-01-09,Interchange,-21163,-21163,1,0
California,2024-01-10,Demand,2550328,318791,3,1
California,2024-01-10,Generation,2693766,224480.5,3,1
California,2024-01-10,Interchange,-71216,-17804,2,1
California,2024-01-11,Demand,1315411,263082.2,3,1
California,2024-01-11,Generation,304464,60892.8,1,0
California,2024-01-11,Interchange,-165984,-20748,3,1
California,2024-01-12,Demand,903615,129087.85714285714,3,1
California,2024-01-12,Generation,2563376,366196.5714285714,3,1
California,2024-01-12,Interchange,-19789,-6596.333333333333,2,1
California,2024-01-13,Demand,198107,49526.75,2,1
California,2024-01-13,Generation,860783,122969,3,1
California,2024-01-13,Interchange,-46477,-7746.166666666667,3,1
California,2024-01-14,Demand,1255165,179309.2857142857,3,1
California,2024-01-14,Generation,2110862,140724.13333333333,3,1
California,2024-01-14,Interchange,-49790,-7112.857142857143,3,1
California,2024-01-15,Demand,711247,177811.75,3,1
California,2024-01-15,Generation,2066942,172245.16666666666,3,1
California,2024-01-15,Interchange,-48980,-9796,3,1
California,2024-01-16,Demand,125134,62567,1,0
California,2024-01-16,Generation,3257476,250575.07692307694,3,1
California,2024-01-16,Interchange,-55989,-9331.5,3,1
California,2024-01-17,Demand,620612,310306,2,1
California,2024-01-17,Generation,2500391,312548.875,3,1
California,2024-01-17,Interchange,-154107,-19263.375,3,1
California,2024-01-18,Demand,60270,60270,1,0
California,2024-01-18,Generation,3057873,254822.75,3,1
California,2024-01-18,Interchange,-55067,-11013.4,2,1
California,2024-01-19,Demand,794709,132451.5,3,1
California,2024-01-19,Generation,4181171,348430.9166666667,3,1
California,2024-01-19,Interchange,-13523,-6761.5,2,1
California,2024-01-20,Demand,686474,171618.5,3,1
California,2024-01-20,Generation,1407930,140793,3,1
California,2024-01-20,Interchange,-7546,-2515.3333333333335,2,1
California,2024-01-21,Demand,1116577,279144.25,3,1
California,2024-01-21,Generation,2950288,196685.86666666667,3,1
California,2024-01-21,Interchange,-113958,-22791.6,3,1
California,2024-01-22,Demand,905963,129423.28571428571,3,1
California,2024-01-22,Generation,3278495,234178.2142857143,3,1
California,2024-01-22,Interchange,-136165,-34041.25,2,1
California,2024-01-23,Demand,1305145,217524.16666666666,3,1
California,2024-01-23,Generation,3717261,232328.8125,3,1
California,2024-01-23,Interchange,-54925,-13731.25,3,1
California,2024-01-24,Demand,1265762,253152.4,2,1
California,2024-01-24,Generation,1410266,201466.57142857142,3,1
California,2024-01-24,Interchange,-69996,-17499,2,1
California,2024-01-25,Demand,1258633,251726.6,3,1
California,2024-01-25,Generation,3064473,255372.75,3,1
California,2024-01-25,Interchange,-132986,-33246.5,2,1
California,2024-01-26,Demand,1231767,246353.4,3,1
California,2024-01-26,Generation,2446846,222440.54545454544,3,1
California,2024-01-26,Interchange,-217194,-43438.8,2,1
California,2024-01-27,Demand,612371,153092.75,2,1
California,2024-01-27,Generation,2007904,334650.6666666667,2,1
California,2024-01-27,Interchange,-85904,-21476,2,1
California,2024-01-28,Demand,470840,470840,1,1
California,2024-01-28,Generation,2019453,155342.53846153847,3,1
California,2024-01-28,Interchange,-203478,-50869.5,2,1
California,2024-01-29,Demand,682217,170554.25,3,1
California,2024-01-29,Generation,3234173,190245.4705882353,3,1
California,2024-01-29,Interchange,-311547,-44506.71428571428,3,1
California,2024-01-30,Demand,1908556,212061.77777777778,3,1
California,2024-01-30,Generation,2321407,178569.76923076922,3,1
California,2024-01-30,Interchange,-299253,-74813.25,2,1
California,2024-01-31,Demand,1307179,217863.16666666666,3,1
California,2024-01-31,Generation,2335606,155707.06666666668,3,1
California,2024-01-31,Interchange,-261028,-65257,2,1
California,2024-02-01,Demand,308577,51429.5,2,1
California,2024-02-01,Generation,1472174,133834,3,1
California,2024-02-01,Interchange,-302028,-43146.857142857145,3,1
California,2024-02-02,Demand,1194719,298679.75,3,1
California,2024-02-02,Generation,2937852,267077.45454545453,3,1
California,2024-02-02,Interchange,-410463,-45607,3,1
California,2024-02-03,Demand,1143601,228720.2,2,1
California,2024-02-03,Generation,716419,143283.8,3,1
California,2024-02-03,Interchange,-176482,-35296.4,3,1
California,2024-02-04,Demand,1756353,250907.57142857142,3,1
California,2024-02-04,Generation,2184487,156034.7857142857,3,1
California,2024-02-04,Interchange,-31723,-15861.5,2,1
California,2024-02-05,Demand,738193,184548.25,3,1
California,2024-02-05,Generation,1333349,222224.83333333334,3,1
California,2024-02-05,Interchange,-279638,-34954.75,3,1
California,2024-02-06,Demand,1842592,368518.4,2,1
California,2024-02-06,Generation,1473638,113356.76923076923,3,1
California,2024-02-06,Interchange,-48963,-16321,2,1
California,2024-02-07,Demand,774300,154860,3,1
California,2024-02-07,Generation,1483879,164875.44444444444,3,1
