region,date,measurement_category,total_value,avg_value,num_companies,states_count
Mountain,2024-02-20,Demand,116794,116794,1,1
New England,2024-12-06,Generation,2222125,317446.4285714286,1,0
PJM,2024-05-11,Interchange,179965,89982.5,1,0
Southeast,2024-01-23,Generation,5096068,299768.70588235295,4,3
Other,2024-09-16,Demand,52644888,731179,35,9
Southeast,2024-08-16,Generation,6900827,530832.8461538461,4,3
New England,2024-02-10,Demand,846880,282293.3333333333,1,0
Florida,2024-04-25,Interchange,-10260,-5130,2,1
New England,2024-10-09,Generation,1286932,257386.4,1,0
PJM,2024-05-27,Interchange,215374,107687,1,0
New York,2024-01-25,Generation,1950091,390018.2,1,1
Northwest,2024-03-07,Demand,610342,43595.857142857145,5,1
New York,2024-02-06,Generation,1963298,392659.6,1,1
California,2024-05-15,Demand,1853326,264760.85714285716,3,1
Florida,2024-01-07,Demand,389005,194502.5,2,1
Florida,2024-06-22,Interchange,-90067,-30022.333333333332,2,1
West,2024-02-12,Interchange,-43281,-6183,3,0
Southeast,2024-02-20,Demand,1906032,317672,3,2
Southwest,2024-09-02,Demand,538470,89745,3,1
Florida,2024-04-12,Interchange,-52420,-10484,2,1
California,2024-12-13,Demand,1468103,209729,3,1
California,2024-12-31,Interchange,-165113,-55037.666666666664,2,1
New York,2024-07-17,Demand,575148,575148,1,1
Texas,2024-11-18,Interchange,6072,3036,1,1
Southwest,2024-10-04,Interchange,115167,16452.428571428572,4,1
Northwest,2024-07-19,Generation,623345,47949.61538461538,4,1
Northwest,2024-10-25,Demand,278012,34751.5,5,1
Texas,2024-01-21,Generation,4248456,1416152,1,1
New York,2024-03-29,Interchange,-24185,-24185,1,1
Southeast,2024-12-05,Generation,5990140,427867.14285714284,4,3
New England,2024-01-07,Generation,2244829,320689.85714285716,1,0
California,2024-07-14,Generation,2251199,204654.45454545456,3,1
California,2024-11-23,Demand,2268748,324106.85714285716,2,1
California,2024-10-26,Demand,764406,127401,3,1
Florida,2024-01-26,Demand,784596,261532,2,1
Texas,2024-09-10,Interchange,-10970,-3656.6666666666665,1,1
Mountain,2024-07-20,Generation,763060,127176.66666666667,2,1
Texas,2024-04-08,Demand,2259074,1129537,1,1
Northwest,2024-12-01,Generation,849458,56630.53333333333,5,1
Northwest,2024-12-18,Demand,302673,37834.125,5,1
New England,2024-01-30,Demand,1076660,358886.6666666667,1,0
Midwest,2024-11-15,Generation,6457086,1614271.5,1,0
Texas,2024-03-08,Generation,5458949,1091789.8,1,1
Texas,2024-04-23,Interchange,-5590,-2795,1,1
Northwest,2024-08-01,Generation,859356,47742,5,1
Midwest,2024-05-11,Generation,5833902,1458475.5,1,0
Midwest,2024-10-18,Generation,6448364,1612091,1,0
Northwest,2024-10-16,Interchange,-4733,-676.1428571428571,3,1
Southwest,2024-06-14,Demand,641733,80216.625,4,1
Northwest,2024-01-22,Demand,359167,32651.545454545456,5,1
West,2024-04-09,Generation,796122,72374.72727272728,4,0
California,2024-01-25,Demand,1258633,251726.6,3,1
