state,date,num_companies,min_value,max_value,value_range,total_value_Demand,total_value_Generation,total_value_Interchange,avg_value_Demand,avg_value_Generation,avg_value_Interchange
AZ,2024-01-01,1,76582,76607,25,153189,0,0,76594.5,0,0
AZ,2024-01-01,1,51828,79513,27685,0,342255,0,0,68451,0
AZ,2024-01-01,1,-27720,-27553,167,0,0,-110439,0,0,-27609.75
AZ,2024-01-02,1,78364,78364,0,78364,0,0,78364,0,0
AZ,2024-01-02,1,55649,80771,25122,0,272745,0,0,68186.25,0
AZ,2024-01-02,1,-25122,-25122,0,0,0,-25122,0,0,-25122
AZ,2024-01-03,1,80487,80757,270,241861,0,0,80620.33333333333,0,0
AZ,2024-01-03,1,57839,84921,27082,0,200923,0,0,66974.33333333333,0
AZ,2024-01-03,1,-26656,-26535,121,0,0,-53191,0,0,-26595.5
AZ,2024-01-04,1,85069,85242,173,255553,0,0,85184.33333333333,0,0
AZ,2024-01-04,1,53058,85445,32387,0,362725,0,0,72545,0
AZ,2024-01-04,1,-31928,-31928,0,0,0,-31928,0,0,-31928
AZ,2024-01-05,1,83616,83797,181,167413,0,0,83706.5,0,0
AZ,2024-01-05,1,57763,87334,29571,0,319349,0,0,79837.25,0
AZ,2024-01-05,1,-29664,-29664,0,0,0,-29664,0,0,-29664
AZ,2024-01-06,1,84620,84653,33,169273,0,0,84636.5,0,0
AZ,2024-01-06,1,55197,84927,29730,0,250842,0,0,62710.5,0
AZ,2024-01-07,1,82910,83334,424,249154,0,0,83051.33333333333,0,0
AZ,2024-01-07,1,52361,89248,36887,0,388332,0,0,64722,0
AZ,2024-01-07,1,-36928,-36135,793,0,0,-146207,0,0,-36551.75
AZ,2024-01-08,1,93242,93394,152,186636,0,0,93318,0,0
AZ,2024-01-08,1,57467,94739,37272,0,246789,0,0,82263,0
AZ,2024-01-08,1,-37248,-37248,0,0,0,-37248,0,0,-37248
AZ,2024-01-09,1,94428,94428,0,94428,0,0,94428,0,0
AZ,2024-01-09,1,56047,94520,38473,0,245004,0,0,81668,0
AZ,2024-01-10,1,92621,92621,0,92621,0,0,92621,0,0
AZ,2024-01-10,1,58448,93054,34606,0,210445,0,0,70148.33333333333,0
AZ,2024-01-10,1,-34639,-33942,697,0,0,-136829,0,0,-34207.25
AZ,2024-01-11,1,91038,91038,0,91038,0,0,91038,0,0
AZ,2024-01-11,1,61162,94097,32935,0,309994,0,0,77498.5,0
