period,records
2024-01-01,500
2024-01-02,500
2024-01-03,500
2024-01-04,500
2024-01-05,500
2024-01-06,500
2024-01-07,500
2024-01-08,499
2024-01-09,500
2024-01-10,500
2024-01-11,500
2024-01-12,500
2024-01-13,500
2024-01-14,500
2024-01-15,500
2024-01-16,500
2024-01-17,500
2024-01-18,499
2024-01-19,500
2024-01-20,500
2024-01-21,500
2024-01-22,500
2024-01-23,500
2024-01-24,500
2024-01-25,500
2024-01-26,500
2024-01-27,500
2024-01-28,500
2024-01-29,500
2024-01-30,500
2024-01-31,500
2024-02-01,500
2024-02-02,500
2024-02-03,500
2024-02-04,500
2024-02-05,500
2024-02-06,500
2024-02-07,500
2024-02-08,500
2024-02-09,500
2024-02-10,500
2024-02-11,500
2024-02-12,500
2024-02-13,500
2024-02-14,500
2024-02-15,500
2024-02-16,500
2024-02-17,500
2024-02-18,500
2024-02-19,499
2024-02-20,500
2024-02-21,500
2024-02-22,500
2024-02-23,500
2024-02-24,500
2024-02-25,500
2024-02-26,500
2024-02-27,500
2024-02-28,500
2024-02-29,500
2024-03-01,500
2024-03-02,500
2024-03-03,500
2024-03-04,500
2024-03-05,500
2024-03-06,500
2024-03-07,500
2024-03-08,500
2024-03-09,500
2024-03-10,499
2024-03-11,500
2024-03-12,499
2024-03-13,499
2024-03-14,500
2024-03-15,500
2024-03-16,499
2024-03-17,500
2024-03-18,500
2024-03-19,500
2024-03-20,500
2024-03-21,500
2024-03-22,500
2024-03-23,500
2024-03-24,500
2024-03-25,500
2024-03-26,500
2024-03-27,500
2024-03-28,500
2024-03-29,500
2024-03-30,500
2024-03-31,500
2024-04-01,500
2024-04-02,500
2024-04-03,500
2024-04-04,500
2024-04-05,500
2024-04-06,500
2024-04-07,500
2024-04-08,500
2024-04-09,500
2024-04-10,500
2024-04-11,500
2024-04-12,500
2024-04-13,500
2024-04-14,500
2024-04-15,500
2024-04-16,500
2024-04-17,500
2024-04-18,500
2024-04-19,500
2024-04-20,500
2024-04-21,500
2024-04-22,500
2024-04-23,500
2024-04-24,500
2024-04-25,500
2024-04-26,500
2024-04-27,500
2024-04-28,500
2024-04-29,500
2024-04-30,500
2024-05-01,500
2024-05-02,500
2024-05-03,500
2024-05-04,500
2024-05-05,500
2024-05-06,500
2024-05-07,500
2024-05-08,500
2024-05-09,500
2024-05-10,500
2024-05-11,500
2024-05-12,500
2024-05-13,500
2024-05-14,500
2024-05-15,500
2024-05-16,500
2024-05-17,500
2024-05-18,500
2024-05-19,499
2024-05-20,500
2024-05-21,500
2024-05-22,499
2024-05-23,500
2024-05-24,500
2024-05-25,500
2024-05-26,500
2024-05-27,500
2024-05-28,500
2024-05-29,499
2024-05-30,500
2024-05-31,500
2024-06-01,500
2024-06-02,500
2024-06-03,500
2024-06-04,500
2024-06-05,500
2024-06-06,500
2024-06-07,500
2024-06-08,500
2024-06-09,500
2024-06-10,500
2024-06-11,500
2024-06-12,500
2024-06-13,500
2024-06-14,500
2024-06-15,500
2024-06-16,500
2024-06-17,499
2024-06-18,500
2024-06-19,500
2024-06-20,500
2024-06-21,500
2024-06-22,500
2024-06-23,500
2024-06-24,500
2024-06-25,499
2024-06-26,500
2024-06-27,500
2024-06-28,500
2024-06-29,500
2024-06-30,499
2024-07-01,499
2024-07-02,500
2024-07-03,500
2024-07-04,500
2024-07-05,500
2024-07-06,500
2024-07-07,500
2024-07-08,500
2024-07-09,500
2024-07-10,500
2024-07-11,500
2024-07-12,500
2024-07-13,500
2024-07-14,500
2024-07-15,500
2024-07-16,500
2024-07-17,499
2024-07-18,500
2024-07-19,500
2024-07-20,500
2024-07-21,500
2024-07-22,500
2024-07-23,500
2024-07-24,500
2024-07-25,500
2024-07-26,500
2024-07-27,500
2024-07-28,500
2024-07-29,500
2024-07-30,499
2024-07-31,500
2024-08-01,500
2024-08-02,500
