period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2024-12-27,AECI,"Associated Electric Cooperative, Inc.",NG,Net generation,Pacific,Pacific,70572,megawatthours
2024-11-22,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Pacific,Pacific,61604,megawatthours
2024-06-10,AECI,"Associated Electric Cooperative, Inc.",NG,Net generation,Pacific,Pacific,50880,megawatthours
2024-05-30,AECI,"Associated Electric Cooperative, Inc.",TI,Total interchange,Arizona,Arizona,5048,megawatthours
2024-06-20,AECI,"Associated Electric Cooperative, Inc.",DF,Day-ahead demand forecast,Central,Central,69108,megawatthours
2024-03-26,AECI,"Associated Electric Cooperative, Inc.",TI,Total interchange,Pacific,Pacific,-9588,megawatthours
2024-10-13,AECI,"Associated Electric Cooperative, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,48895,megawatthours
2024-06-06,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Mountain,Mountain,56911,megawatthours
2024-06-30,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,62287,megawatthours
2024-10-09,AECI,"Associated Electric Cooperative, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,46445,megawatthours
2024-02-16,AVA,Avista Corporation,TI,Total interchange,Eastern,Eastern,-14152,megawatthours
2024-08-05,AVA,Avista Corporation,NG,Net generation,Central,Central,20749,megawatthours
2024-01-22,AVA,Avista Corporation,DF,Day-ahead demand forecast,Eastern,Eastern,41309,megawatthours
2024-12-07,AVA,Avista Corporation,NG,Net generation,Mountain,Mountain,16202,megawatthours
2024-09-14,AVA,Avista Corporation,TI,Total interchange,Arizona,Arizona,-7340,megawatthours
2024-04-27,AVA,Avista Corporation,NG,Net generation,Pacific,Pacific,19881,megawatthours
2024-03-20,AVA,Avista Corporation,D,Demand,Mountain,Mountain,31818,megawatthours
2024-06-21,AVA,Avista Corporation,DF,Day-ahead demand forecast,Mountain,Mountain,33252,megawatthours
2024-05-01,AVA,Avista Corporation,D,Demand,Arizona,Arizona,34677,megawatthours
2024-05-09,AVA,Avista Corporation,NG,Net generation,Arizona,Arizona,21947,megawatthours
2024-07-11,AVRN,"Avangrid Renewables, LLC",NG,Net generation,Central,Central,36552,megawatthours
2024-09-27,AVRN,"Avangrid Renewables, LLC",NG,Net generation,Central,Central,24174,megawatthours
2024-03-22,AVRN,"Avangrid Renewables, LLC",NG,Net generation,Central,Central,14264,megawatthours
2024-05-26,AVRN,"Avangrid Renewables, LLC",NG,Net generation,Arizona,Arizona,18551,megawatthours
2024-01-09,AVRN,"Avangrid Renewables, LLC",NG,Net generation,Arizona,Arizona,48707,megawatthours
2024-04-02,AVRN,"Avangrid Renewables, LLC",TI,Total interchange,Central,Central,28217,megawatthours
2024-04-30,AVRN,"Avangrid Renewables, LLC",NG,Net generation,Mountain,Mountain,14323,megawatthours
2024-04-06,AVRN,"Avangrid Renewables, LLC",NG,Net generation,Eastern,Eastern,42212,megawatthours
2024-09-21,AVRN,"Avangrid Renewables, LLC",NG,Net generation,Central,Central,12604,megawatthours
2024-11-12,AVRN,"Avangrid Renewables, LLC",NG,Net generation,Central,Central,33846,megawatthours
2024-10-23,AZPS,Arizona Public Service Company,D,Demand,Eastern,Eastern,90702,megawatthours
2024-07-04,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Mountain,Mountain,146991,megawatthours
2024-10-30,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Mountain,Mountain,73483,megawatthours
2024-07-27,AZPS,Arizona Public Service Company,NG,Net generation,Eastern,Eastern,82975,megawatthours
2024-11-02,AZPS,Arizona Public Service Company,NG,Net generation,Eastern,Eastern,46332,megawatthours
2024-12-07,AZPS,Arizona Public Service Company,TI,Total interchange,Eastern,Eastern,-32610,megawatthours
2024-04-09,AZPS,Arizona Public Service Company,TI,Total interchange,Central,Central,-17985,megawatthours
2024-05-08,AZPS,Arizona Public Service Company,NG,Net generation,Mountain,Mountain,46204,megawatthours
2024-03-25,AZPS,Arizona Public Service Company,TI,Total interchange,Arizona,Arizona,-25699,megawatthours
2024-02-05,AZPS,Arizona Public Service Company,D,Demand,Central,Central,77735,megawatthours
2024-11-24,BANC,Balancing Authority of Northern California,DF,Day-ahead demand forecast,Eastern,Eastern,43763,megawatthours
2024-01-19,BANC,Balancing Authority of Northern California,NG,Net generation,Arizona,Arizona,46915,megawatthours
2024-07-12,BANC,Balancing Authority of Northern California,TI,Total interchange,Mountain,Mountain,-18769,megawatthours
2024-05-23,BANC,Balancing Authority of Northern California,DF,Day-ahead demand forecast,Eastern,Eastern,46672,megawatthours
2024-02-22,BANC,Balancing Authority of Northern California,D,Demand,Eastern,Eastern,42724,megawatthours
2024-05-21,BANC,Balancing Authority of Northern California,DF,Day-ahead demand forecast,Central,Central,45629,megawatthours
2024-09-16,BANC,Balancing Authority of Northern California,DF,Day-ahead demand forecast,Central,Central,44436,megawatthours
2024-03-31,BANC,Balancing Authority of Northern California,TI,Total interchange,Arizona,Arizona,-6237,megawatthours
2024-10-13,BANC,Balancing Authority of Northern California,TI,Total interchange,Arizona,Arizona,-12114,megawatthours
