location,latitude,longitude,datetime,temperature,humidity,precipitation,wind_speed,cloud_cover
"Austin, TX",30.2672,-97.7431,2024-04-08T20:00:00Z,23,80,1,22.4,100
"Austin, TX",30.2672,-97.7431,2024-08-07T20:00:00Z,37.6,35,0,7.9,8
"Austin, TX",30.2672,-97.7431,2024-02-22T08:00:00Z,17.5,89,0,20,100
"Austin, TX",30.2672,-97.7431,2024-01-16T00:00:00Z,-0.7,54,0,12.7,0
"Austin, TX",30.2672,-97.7431,2024-11-17T00:00:00Z,23.9,56,0,14.6,99
"Austin, TX",30.2672,-97.7431,2024-06-13T21:00:00Z,32.2,59,0,9.4,11
"Austin, TX",30.2672,-97.7431,2024-08-13T06:00:00Z,28.5,69,0,14.9,0
"Austin, TX",30.2672,-97.7431,2024-02-09T00:00:00Z,18.4,62,0,6,100
"Austin, TX",30.2672,-97.7431,2024-08-23T00:00:00Z,32.6,58,0,7.9,100
"Austin, TX",30.2672,-97.7431,2024-06-15T21:00:00Z,33.4,46,0,12.1,15
"Boston, MA",42.3601,-71.0589,2024-01-11T23:00:00Z,2.3,66,0,7.8,3
"Boston, MA",42.3601,-71.0589,2024-08-14T13:00:00Z,22.6,72,0,6.3,0
"Boston, MA",42.3601,-71.0589,2024-01-21T05:00:00Z,-10,59,0,22.8,39
"Boston, MA",42.3601,-71.0589,2024-11-01T09:00:00Z,18.6,74,0,19.9,100
"Boston, MA",42.3601,-71.0589,2024-12-19T23:00:00Z,2.9,62,0,10.2,100
"Boston, MA",42.3601,-71.0589,2024-04-12T09:00:00Z,14.1,95,1.2,27.9,100
"Boston, MA",42.3601,-71.0589,2024-11-20T17:00:00Z,10.2,51,0,4.2,0
"Boston, MA",42.3601,-71.0589,2024-08-15T23:00:00Z,22.8,77,0,5.5,93
"Boston, MA",42.3601,-71.0589,2024-09-21T08:00:00Z,15.2,94,0.4,20.3,100
"Boston, MA",42.3601,-71.0589,2024-04-04T21:00:00Z,2.1,93,0.5,29.8,100
"Charlotte, NC",35.2271,-80.8431,2024-04-16T11:00:00Z,13.3,90,0,9,100
"Charlotte, NC",35.2271,-80.8431,2024-01-31T11:00:00Z,5.4,95,0,8.6,100
"Charlotte, NC",35.2271,-80.8431,2024-02-09T13:00:00Z,5.4,69,0,11,100
"Charlotte, NC",35.2271,-80.8431,2024-01-27T06:00:00Z,14,93,0,7.7,100
"Charlotte, NC",35.2271,-80.8431,2024-06-30T17:00:00Z,33.7,53,0.1,4,88
"Charlotte, NC",35.2271,-80.8431,2024-09-29T09:00:00Z,19.9,90,0,9.1,6
"Charlotte, NC",35.2271,-80.8431,2024-02-28T08:00:00Z,16.1,69,0,27.6,100
"Charlotte, NC",35.2271,-80.8431,2024-08-01T14:00:00Z,30.3,53,0,6.3,37
"Charlotte, NC",35.2271,-80.8431,2024-04-27T13:00:00Z,16.2,72,0,6.6,37
"Charlotte, NC",35.2271,-80.8431,2024-01-22T17:00:00Z,4.5,29,0,6.5,23
"Chicago, IL",41.8781,-87.6298,2024-12-08T21:00:00Z,9.4,74,0,10.5,0
"Chicago, IL",41.8781,-87.6298,2024-02-09T13:00:00Z,3.8,76,0,18.8,0
"Chicago, IL",41.8781,-87.6298,2024-01-05T11:00:00Z,-5.4,86,0,10.4,100
"Chicago, IL",41.8781,-87.6298,2024-08-10T23:00:00Z,23,33,0,21.7,4
"Chicago, IL",41.8781,-87.6298,2024-10-24T21:00:00Z,16,36,0,13.6,80
"Chicago, IL",41.8781,-87.6298,2024-03-11T16:00:00Z,11.3,48,0,29.3,0
"Chicago, IL",41.8781,-87.6298,2024-06-22T23:00:00Z,31.6,39,0,31.8,100
"Chicago, IL",41.8781,-87.6298,2024-09-02T20:00:00Z,21.2,39,0,13.6,0
"Chicago, IL",41.8781,-87.6298,2024-08-21T22:00:00Z,20.5,51,0,12.6,0
