location,date,latitude,longitude,temp_mean,temp_min,temp_max,temp_range,humidity_mean,precipitation_total,wind_speed_mean,wind_speed_max,cloud_cover_mean,hourly_records
"Fort Worth, TX",2024-02-02,32.7555,-97.3308,60.754999999999995,54.68,66.38,11.699999999999996,83.625,1.1,20.85,26.7,67.20833333333333,24
"Los Angeles, CA",2024-01-21,34.0522,-118.2437,55.7825,53.06,62.059999999999995,8.999999999999993,87.125,13.7,9.429166666666667,15.1,92.70833333333333,24
"Denver, CO",2024-06-09,39.7392,-104.9903,67.2875,56.48,80.24000000000001,23.760000000000012,68.625,0.2,7.291666666666667,14,53.083333333333336,24
"Phoenix, AZ",2024-04-30,33.4484,-112.074,80.195,64.58,93.74,29.159999999999997,16.375,0,9.425,14.4,0,24
"Charlotte, NC",2024-12-27,35.2271,-80.8431,42.14,39.56,45.14,5.579999999999998,76.375,0.7000000000000001,9.720833333333333,11.8,99.45833333333333,24
"Chicago, IL",2024-05-27,41.8781,-87.6298,63.1775,55.58,71.06,15.480000000000004,73.58333333333333,0.4,22.84166666666667,29.6,76.54166666666667,24
"Seattle, WA",2024-11-17,47.6062,-122.3321,47.1725,41,49.46,8.46,86.66666666666667,6.1,23.545833333333334,37.6,96.95833333333333,24
"Boston, MA",2024-09-22,42.3601,-71.0589,59.285,56.66,63.32,6.660000000000004,85.41666666666667,12.4,17.5125,23.7,90.70833333333333,24
"Dallas, TX",2024-09-13,32.7767,-96.797,79.01,66.38,92.48,26.10000000000001,63,0,7.233333333333333,13.4,1.1666666666666667,24
"Phoenix, AZ",2024-04-05,33.4484,-112.074,61.025,54.32,67.64,13.32,43.416666666666664,0,17.958333333333332,31.6,70.66666666666667,24
"Phoenix, AZ",2024-09-27,33.4484,-112.074,94.685,77.72,109.94,32.22,15.625,0,7.954166666666667,14.1,0.5,24
"San Diego, CA",2024-10-06,32.7157,-117.1611,68.4125,62.959999999999994,76.28,13.320000000000007,84.08333333333333,0,9.3875,17.9,35.708333333333336,24
"Jacksonville, FL",2024-08-18,30.3322,-81.6557,81.485,74.84,91.58000000000001,16.74000000000001,75.04166666666667,1.8,8.825,12,18.5,24
"Austin, TX",2024-12-21,30.2672,-97.7431,48.410000000000004,36.68,59.540000000000006,22.860000000000007,59.833333333333336,0,6.329166666666667,9,0,24
"San Antonio, TX",2024-07-19,29.4241,-98.4936,83.15,73.58,92.11999999999999,18.539999999999992,69.75,8.2,6.241666666666666,11.2,46.166666666666664,24
"Los Angeles, CA",2024-07-31,34.0522,-118.2437,69.55250000000001,58.82,85.64,26.82,69.33333333333333,0,8.825,20.3,8.875,24
"San Jose, CA",2024-05-21,37.3382,-121.8863,66.2375,51.620000000000005,83.84,32.22,47.083333333333336,0,11.075000000000001,26,0.16666666666666666,24
"San Francisco, CA",2024-10-24,37.7749,-122.4194,61.595,50.9,76.1,25.199999999999996,48.916666666666664,0,9.675,17.5,3.25,24
"Jacksonville, FL",2024-09-30,30.3322,-81.6557,79.0475,73.58,87.26,13.680000000000007,84.45833333333333,9.5,7.445833333333333,11.7,33.666666666666664,24
"Dallas, TX",2024-03-03,32.7767,-96.797,67.58,59.72,78.8,19.08,74.54166666666667,0,23.995833333333334,28,38.875,24
"Charlotte, NC",2024-06-11,35.2271,-80.8431,72.2975,61.34,83.48,22.14,55.666666666666664,0,7.9,15.8,24.625,24
"New York, NY",2024-10-07,40.7128,-74.006,65.5325,60.440000000000005,74.3,13.859999999999992,69.625,5.5,14.745833333333334,19.7,59.875,24
"Phoenix, AZ",2024-09-07,33.4484,-112.074,97.865,87.8,105.8,18,20.5,0,15.620833333333334,34.2,24.708333333333332,24
"Charlotte, NC",2024-07-14,35.2271,-80.8431,85.6025,73.04,96.44,23.39999999999999,53.666666666666664,0.1,7.433333333333334,11.8,25.041666666666668,24
"Charlotte, NC",2024-09-17,35.2271,-80.8431,65.2925,59.9,70.34,10.440000000000005,92.04166666666667,37.300000000000004,18.4625,33,99.83333333333333,24
"Dallas, TX",2024-06-23,32.7767,-96.797,86.4425,77.9,95.36,17.459999999999994,57.875,0,10.475,16.2,4.958333333333333,24
"New York, NY",2024-10-27,40.7128,-74.006,50.525,40.46,58.459999999999994,17.999999999999993,45.541666666666664,0,10.966666666666667,18.6,34.625,24
"San Antonio, TX",2024-04-26,29.4241,-98.4936,74.915,72.32,81.32,9,84.95833333333333,17,20.575,30.5,87.29166666666667,24
"Jacksonville, FL",2024-11-17,30.3322,-81.6557,63.8675,57.74,73.04,15.300000000000004,79.95833333333333,0,4.983333333333333,10.9,2.0833333333333335,24
"Charlotte, NC",2024-05-03,35.2271,-80.8431,73.52,62.059999999999995,85.1,23.04,62.083333333333336,0.2,8.983333333333334,12.2,62.791666666666664,24
"Jacksonville, FL",2024-09-20,30.3322,-81.6557,77.42,72.14,83.48,11.340000000000003,87.04166666666667,0.9,8.266666666666667,16.7,42.416666666666664,24
"Austin, TX",2024-09-15,30.2672,-97.7431,85.9325,78.8,93.91999999999999,15.11999999999999,60.291666666666664,0,6.916666666666667,19.7,65.91666666666667,24
"Phoenix, AZ",2024-10-08,33.4484,-112.074,90.4775,73.94,105.26,31.320000000000007,12.333333333333334,0,9.729166666666666,16.4,28,24
"Boston, MA",2024-04-22,42.3601,-71.0589,44.735,35.42,54.5,19.08,50.208333333333336,0,12.541666666666666,16.6,18.541666666666668,24
"Phoenix, AZ",2024-09-22,33.4484,-112.074,82.37,67.82,96.08000000000001,28.26000000000002,30.75,0,4.991666666666666,13.7,0.041666666666666664,24
"Dallas, TX",2024-08-19,32.7767,-96.797,94.1675,83.84,106.52,22.679999999999993,39.291666666666664,0,12.058333333333334,20.1,12.958333333333334,24
"Austin, TX",2024-10-25,30.2672,-97.7431,77.915,68.72,89.06,20.340000000000003,64,0.1,13.066666666666666,18.9,24.458333333333332,24
"Jacksonville, FL",2024-10-29,30.3322,-81.6557,69.8375,65.84,77.18,11.340000000000003,84.95833333333333,0.9,13.733333333333334,18.7,23.666666666666668,24
"Denver, CO",2024-09-02,39.7392,-104.9903,72.455,54.5,88.88000000000001,34.38000000000001,23.916666666666668,0,11.604166666666666,24,13.958333333333334,24
"San Francisco, CA",2024-07-20,37.7749,-122.4194,66.965,59,78.44,19.439999999999998,65.91666666666667,0,17.329166666666666,29.9,0.5,24
"Jacksonville, FL",2024-02-09,30.3322,-81.6557,57.155,47.3,71.6,24.299999999999997,85.5,0,6.791666666666667,12.8,84.58333333333333,24
"Phoenix, AZ",2024-09-16,33.4484,-112.074,89.0225,75.92,100.22,24.299999999999997,38.041666666666664,0,19.958333333333332,29,6.25,24
"Charlotte, NC",2024-04-09,35.2271,-80.8431,59.4125,55.22,66.92,11.700000000000003,80,5.1,12.466666666666667,15.5,99.125,24
"Charlotte, NC",2024-09-02,35.2271,-80.8431,76.3025,70.7,85.64,14.939999999999998,83.95833333333333,17.5,6.554166666666667,16.1,77.375,24
"San Francisco, CA",2024-02-03,37.7749,-122.4194,49.775,46.76,53.78,7.020000000000003,76.16666666666667,1.7000000000000002,8.9125,13.4,90.45833333333333,24
"Phoenix, AZ",2024-11-11,33.4484,-112.074,64.8275,48.56,80.42,31.86,25.083333333333332,0,7.216666666666667,10.2,0.16666666666666666,24
"San Francisco, CA",2024-03-25,37.7749,-122.4194,53.0075,49.28,57.2,7.920000000000002,76.66666666666667,0,19.966666666666665,30.6,71.625,24
"Columbus, OH",2024-03-08,39.9612,-82.9988,48.0875,41,59.9,18.9,85.91666666666667,0.5,8.2875,11.3,90.58333333333333,24
"Denver, CO",2024-03-06,39.7392,-104.9903,36.305,23.18,55.94,32.76,63.333333333333336,0,8.029166666666667,16.9,36.5,24
"Denver, CO",2024-12-09,39.7392,-104.9903,31.895,28.580000000000002,39.92,11.34,57.083333333333336,0.30000000000000004,4.929166666666667,15.4,50.416666666666664,24
